,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
4314,FL,Florida,Valrico,35545,18.7,21.4,16.7,30.9,74.1,6.4,8.5,83.7,5.8,74.4,88.4,72.9,6.8,37.7,35.9,15.7,64.7,17.7,9.6,13.1,31.9,2.7,22.3,77.3,14.4,27.9,10.2,31.4,2.7,12.2
4328,FL,Florida,Umatilla,3462,20.0,33.5,12.7,40.4,80.0,10.0,8.4,79.5,10.4,77.8,88.7,73.3,11.4,50.2,36.0,17.8,57.4,19.4,13.7,19.0,37.2,4.2,29.1,74.9,14.5,33.7,13.5,32.3,4.8,19.5
4330,FL,Florida,Fairview Shores,10179,23.1,22.4,14.5,33.2,72.6,6.2,9.2,80.5,7.0,72.4,86.0,68.3,8.9,38.9,33.6,20.8,52.0,18.9,11.2,19.1,30.9,3.3,27.2,72.5,16.4,30.4,12.7,35.3,3.7,18.7
4340,FL,Florida,Madison,2830,28.2,28.8,12.4,43.1,76.3,6.0,11.5,76.3,8.3,79.3,85.0,67.9,11.2,28.4,32.6,27.9,40.5,20.3,17.0,28.5,33.0,4.4,39.2,80.5,19.1,41.4,16.7,42.7,5.6,25.4
4344,FL,Florida,St. Leo,1270,19.7,8.2,22.2,12.4,50.2,2.2,9.4,66.8,2.1,68.4,75.6,73.3,3.1,38.3,36.7,11.4,63.7,23.8,3.2,8.0,14.7,1.2,16.5,75.5,19.9,20.0,5.8,30.4,1.0,11.5
4363,FL,Florida,Palm Shores,896,15.9,23.5,15.4,32.2,75.3,7.4,8.6,84.0,6.5,76.2,88.9,71.7,7.2,40.5,36.8,14.8,66.7,18.6,10.2,12.8,33.7,2.8,21.3,77.0,13.7,30.8,10.1,32.1,3.0,10.3
4364,FL,Florida,Tavares,14712,20.6,34.4,12.0,42.4,80.5,9.9,8.5,78.2,10.7,78.6,89.0,75.5,12.0,49.7,38.1,18.8,55.8,19.3,14.9,20.0,38.3,4.3,29.8,75.1,14.5,35.2,13.9,33.2,4.9,18.9
4366,FL,Florida,Villano Beach,2678,11.6,23.9,16.0,33.7,77.4,8.5,7.8,83.8,6.5,77.6,91.4,78.4,6.4,49.8,42.2,12.1,71.3,18.2,9.3,10.7,35.0,2.7,16.2,79.7,12.4,23.8,9.1,27.7,2.7,7.6
4370,FL,Florida,Fort Denaud,1694,28.8,34.3,12.7,43.8,81.4,8.8,10.0,72.8,12.9,73.2,84.9,66.9,16.8,34.4,25.8,29.3,43.8,21.5,17.8,29.3,38.8,5.2,38.3,71.8,17.6,35.4,19.6,32.8,6.4,26.6
4379,FL,Florida,Royal Palm Estates,3025,34.8,18.4,15.0,31.3,69.1,4.0,9.2,77.7,5.9,72.1,82.5,66.4,7.8,30.2,32.7,22.8,49.3,18.1,12.9,22.8,27.8,3.2,33.5,80.1,17.4,33.4,13.7,39.0,3.4,22.6
