,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
5137,FL,Florida,St. Pete Beach,9346,13.4,30.3,13.9,39.0,80.7,10.2,7.7,83.4,8.6,77.1,92.2,76.6,8.1,45.2,46.6,13.7,65.4,16.5,11.1,13.0,39.6,3.5,20.7,75.4,11.9,24.7,10.6,28.4,3.7,10.1
5140,FL,Florida,Springhill,160,21.0,26.3,16.6,35.0,70.7,5.9,9.8,77.1,6.4,71.3,83.7,69.8,10.1,43.5,38.9,28.7,51.4,23.2,10.5,18.1,33.1,2.8,30.5,75.5,19.5,33.8,13.6,36.9,3.2,16.5
5145,FL,Florida,Lehigh Acres,86784,31.1,22.3,16.3,31.6,71.2,5.3,9.3,78.0,6.5,72.8,83.7,69.5,8.2,36.9,36.5,22.3,55.2,19.2,11.8,20.7,28.8,3.2,29.9,76.9,17.1,31.9,13.2,34.7,3.5,18.1
5146,FL,Florida,Jupiter Farms,12046,15.7,19.7,17.3,27.9,71.8,6.3,7.9,84.0,5.3,73.1,89.0,74.3,6.3,45.0,47.8,15.5,71.7,18.1,8.4,11.1,31.6,2.4,18.9,79.0,13.9,24.1,9.3,32.4,2.4,10.1
5162,FL,Florida,Bonita Springs,44068,22.5,29.6,13.6,37.0,80.5,10.1,7.7,81.1,9.1,77.7,90.3,79.3,8.6,47.5,46.6,14.1,69.4,16.5,11.8,15.3,37.1,3.7,22.7,76.8,12.1,25.2,11.3,27.5,3.8,9.8
5166,FL,Florida,Christmas,2260,17.1,21.4,16.1,30.5,72.7,6.6,8.4,83.3,6.2,72.0,87.9,71.9,7.5,44.2,40.0,17.3,61.4,18.7,9.2,13.7,32.0,2.7,21.1,72.6,14.9,27.4,10.5,32.1,2.8,11.7
5174,FL,Florida,Sorrento,861,21.6,20.4,17.5,27.2,68.7,5.5,8.1,80.9,5.1,71.6,85.8,73.2,6.1,53.8,43.4,16.4,61.6,20.0,8.7,12.6,28.7,2.3,22.3,77.3,15.7,33.8,9.3,33.6,2.3,13.0
5179,FL,Florida,Key Vista,1757,17.0,25.8,15.9,31.4,75.9,7.4,8.2,80.7,6.8,74.2,88.6,72.9,7.9,39.4,39.0,19.5,61.2,21.4,10.5,13.9,34.4,2.9,23.1,73.5,14.7,29.3,10.8,33.5,3.0,11.3
5181,FL,Florida,North Key Largo,1244,12.9,32.0,12.5,40.1,85.6,12.2,7.5,79.2,10.6,80.2,92.4,78.9,8.6,44.3,35.2,9.8,73.1,15.6,12.4,13.4,39.6,4.2,21.1,73.2,10.8,24.5,10.6,27.8,4.2,8.8
5184,FL,Florida,High Springs,5350,18.8,24.6,15.8,33.5,74.9,6.8,9.4,79.9,6.9,72.5,87.3,73.8,8.5,43.5,32.9,18.2,57.6,19.8,11.0,16.0,32.7,3.2,25.0,74.6,16.1,31.6,11.9,32.1,3.5,14.9
5188,FL,Florida,Coconut Creek,52916,21.6,22.8,14.3,31.0,75.4,7.3,8.0,83.2,6.7,75.2,88.2,73.7,7.2,33.9,31.5,15.4,63.2,17.1,9.9,14.9,32.1,3.1,25.3,79.5,14.5,26.9,10.6,35.0,3.3,12.7
5190,FL,Florida,Golden Beach,919,16.4,20.8,15.6,28.5,74.5,6.4,7.8,84.1,5.5,75.6,88.7,73.5,5.8,38.7,34.7,12.8,70.6,16.7,9.6,12.4,31.5,2.6,22.2,74.9,13.9,24.5,9.7,32.3,2.5,8.5
5192,FL,Florida,Lakeland,97767,22.7,28.2,13.7,38.3,78.1,7.7,9.4,78.2,8.3,76.1,86.2,72.5,9.7,39.5,34.4,19.1,53.5,19.5,13.1,20.0,35.6,3.8,28.8,76.8,15.8,35.1,13.5,33.4,4.4,17.7
5197,FL,Florida,Sebastian,21946,18.9,29.9,12.8,37.5,80.2,9.3,8.7,81.3,9.2,77.4,89.4,71.3,9.9,38.9,34.5,19.3,61.6,18.1,12.2,17.1,37.8,3.7,26.3,71.5,13.9,31.3,12.6,32.3,4.2,13.6
5199,FL,Florida,Orchid,415,7.7,35.6,7.8,43.8,86.5,14.4,7.2,84.8,10.5,85.1,96.6,82.4,8.0,47.2,45.3,8.3,77.3,14.1,12.6,11.6,46.7,4.1,17.9,74.6,8.3,25.3,9.7,24.3,3.9,5.2
5205,FL,Florida,Andrews,798,22.8,32.2,15.0,38.3,77.5,8.0,9.5,76.9,9.5,76.3,85.1,70.4,12.4,36.2,30.2,24.4,51.4,22.5,13.6,21.4,34.8,3.9,31.5,67.5,17.0,35.8,15.1,33.4,4.6,20.2
5213,FL,Florida,Kendall,75371,24.1,19.0,14.2,27.7,74.4,5.7,7.3,82.4,5.3,75.4,88.1,72.4,4.8,36.3,30.2,11.0,66.7,14.6,10.9,14.5,29.7,2.9,26.4,76.6,13.2,25.9,9.7,32.7,2.5,9.2
5215,FL,Florida,Whiskey Creek,4655,14.0,29.5,14.2,35.9,80.3,10.2,7.8,83.5,8.6,78.3,91.5,78.2,7.9,48.4,45.5,13.0,73.5,16.9,10.8,13.0,35.9,3.5,20.1,77.0,12.1,24.3,10.6,27.4,3.6,9.0
5217,FL,Florida,St. James City,3784,15.9,39.4,10.6,47.4,85.3,12.4,8.2,79.6,13.3,81.9,93.1,77.0,13.6,42.6,41.7,16.7,66.2,17.2,16.3,20.5,43.3,5.0,27.2,75.6,12.0,27.4,15.2,28.1,5.7,13.8
5223,FL,Florida,Acacia Villas,427,37.1,15.7,16.4,25.7,66.9,4.2,7.9,78.7,4.8,69.9,83.3,66.1,5.4,33.0,30.2,17.1,56.6,16.4,10.1,17.7,26.2,2.6,30.1,78.6,15.6,27.9,10.7,35.7,2.6,17.2
5224,FL,Florida,Viera West,6641,16.7,23.5,14.9,32.2,75.6,7.3,8.5,83.7,6.4,76.2,88.6,73.8,7.1,39.6,36.6,14.9,65.5,18.6,10.4,13.0,33.2,2.9,22.2,77.4,13.7,31.3,10.0,32.3,3.0,10.0
5232,FL,Florida,Ocoee,35827,23.1,18.7,15.2,29.3,69.6,5.2,8.8,82.4,5.2,71.3,86.3,69.9,6.7,41.0,36.5,18.3,55.9,18.0,9.6,15.8,28.5,2.6,24.4,74.0,15.8,29.4,10.7,35.1,2.8,14.6
5233,FL,Florida,Hill 'n Dale,1934,24.9,25.6,14.8,35.1,73.7,6.0,9.9,79.3,6.7,73.9,84.5,70.3,9.6,39.7,33.3,25.0,48.8,21.4,11.7,19.8,31.0,3.2,30.3,71.8,18.0,38.8,13.8,37.4,3.7,18.9
5235,FL,Florida,Roosevelt Gardens,2453,31.6,24.6,11.4,43.5,75.0,4.6,12.0,80.7,6.8,80.0,85.9,69.4,10.0,20.6,23.1,28.4,40.6,17.8,17.2,29.5,29.5,4.3,39.6,83.8,19.9,41.8,16.4,49.3,5.8,31.8
5240,FL,Florida,South Highpoint,5023,32.2,21.4,16.8,32.2,67.8,4.2,9.9,73.5,5.9,69.0,80.4,62.8,9.2,32.9,35.9,28.5,39.8,20.7,11.3,22.7,29.9,3.0,33.3,73.8,19.5,33.2,14.3,37.8,3.4,22.0
5243,FL,Florida,Redington Beach,1427,13.2,28.1,14.9,36.4,78.7,9.1,7.8,83.5,7.4,75.9,91.9,75.1,7.5,45.9,46.9,14.6,65.9,17.1,10.3,12.2,38.3,3.1,19.9,76.4,12.5,25.1,10.1,29.4,3.2,9.4
5244,FL,Florida,Pine Hills,60076,29.8,22.5,11.8,39.4,73.0,4.8,11.0,79.9,6.6,76.3,86.1,67.9,9.0,32.1,30.1,24.8,41.7,17.8,15.0,25.4,28.9,3.7,34.5,76.3,18.4,38.1,14.7,42.9,4.6,24.1
5258,FL,Florida,Sun City Center,19258,13.8,43.7,6.1,54.4,89.6,16.9,7.4,81.3,15.7,87.5,96.2,80.9,13.0,40.0,34.8,9.5,67.7,13.5,16.9,18.7,47.4,6.0,28.7,73.9,9.0,23.2,14.2,24.1,6.6,12.2
5259,FL,Florida,Palmetto Estates,13535,27.8,20.2,13.5,33.2,74.6,4.9,8.6,80.7,5.5,76.7,87.0,70.7,5.9,30.8,27.2,16.5,57.8,14.9,13.0,18.6,29.0,3.1,32.1,77.5,15.4,30.7,11.6,39.6,3.3,14.7
5264,FL,Florida,Wabasso,609,17.7,28.5,13.8,36.8,79.2,8.6,8.6,81.4,8.7,76.7,89.5,70.6,9.5,39.5,35.5,19.3,62.7,17.8,11.9,16.3,37.9,3.5,24.7,72.8,13.7,31.7,12.2,32.4,3.8,12.9
5269,FL,Florida,University Park,26995,32.5,18.8,13.4,28.6,75.1,5.3,7.4,78.2,6.0,75.4,85.8,70.2,4.7,30.2,26.3,11.1,60.8,14.3,13.4,18.8,29.9,3.4,32.8,75.2,14.1,26.8,11.1,33.1,2.8,11.2
5282,FL,Florida,Estero,27886,14.0,29.8,13.5,36.7,81.6,10.7,7.6,82.0,8.8,79.1,91.7,81.9,8.0,49.1,48.7,11.7,74.8,16.5,11.1,12.6,37.6,3.5,19.1,77.4,11.4,23.2,10.1,26.0,3.5,8.0
5284,FL,Florida,Palm Bay,104118,22.0,24.4,14.8,34.5,75.3,6.6,9.5,81.1,7.1,76.0,85.8,68.5,8.6,34.4,31.0,19.1,56.9,19.9,12.3,17.6,32.3,3.3,27.9,76.4,16.1,35.1,12.3,35.6,3.7,15.5
5292,FL,Florida,Tierra Verde,3721,11.1,26.7,14.7,35.3,78.6,9.0,7.6,85.0,6.8,76.2,92.9,77.6,6.4,47.4,50.5,12.1,69.7,16.4,9.6,10.5,38.5,2.9,17.2,77.6,11.5,24.0,9.1,27.8,2.8,7.3
5294,FL,Florida,Tequesta,5651,14.1,24.8,14.2,33.6,78.3,9.0,7.7,84.4,7.6,76.8,91.1,77.6,7.5,46.0,46.7,13.1,72.7,16.9,10.1,12.0,35.3,3.2,19.8,78.5,12.3,23.1,9.9,30.2,3.3,10.1
5296,FL,Florida,"Islamorada, Village of Islands",6119,15.1,26.0,17.1,34.0,79.3,8.4,7.8,83.5,7.6,74.8,90.8,73.7,7.8,43.0,33.8,15.2,70.0,17.4,10.7,13.2,36.0,3.1,21.2,74.2,12.7,28.4,10.6,32.1,3.2,9.9
5306,FL,Florida,Manalapan,406,10.7,30.7,10.2,41.5,84.0,11.8,7.3,84.9,10.2,81.8,94.2,80.8,8.5,45.5,46.9,9.5,74.5,14.7,12.8,13.2,40.9,4.3,19.8,81.0,9.8,22.3,10.7,27.2,4.2,8.5
5312,FL,Florida,Caryville,411,30.9,22.1,18.6,35.4,66.4,4.5,9.4,74.6,6.6,69.0,77.4,67.6,9.4,28.9,33.1,30.9,40.9,21.2,11.7,22.9,28.4,3.1,31.5,73.7,19.0,39.1,14.2,42.9,3.9,26.9
5320,FL,Florida,Fort Meade,5648,29.2,29.9,13.2,40.9,78.5,7.3,9.7,76.7,9.3,75.6,85.0,70.3,11.6,35.9,31.7,22.6,46.5,19.9,15.3,24.5,37.0,4.2,33.8,76.3,16.6,38.9,15.8,35.1,5.0,22.1
5334,FL,Florida,Midway,1624,25.3,26.0,12.9,43.1,77.2,5.5,10.6,83.2,6.7,81.0,88.8,74.2,7.7,32.5,29.4,20.8,48.7,16.1,16.4,21.4,30.7,3.9,33.1,80.1,16.3,40.6,13.0,44.6,5.0,22.5
5336,FL,Florida,Zephyrhills South,5373,22.2,40.9,10.6,47.1,85.1,11.9,8.9,75.3,14.2,80.3,90.4,72.0,16.2,33.8,32.5,23.4,50.8,21.6,17.9,24.9,43.9,5.4,34.5,68.9,14.4,32.0,17.3,32.6,6.5,20.8
5343,FL,Florida,Fisher Island,126,14.4,33.1,10.0,43.1,84.6,11.0,7.8,79.8,10.9,82.0,92.7,77.2,10.5,39.9,34.1,12.9,67.7,15.8,14.8,17.4,41.7,4.4,26.4,74.7,11.7,24.6,13.0,30.2,4.5,11.4
5355,FL,Florida,Palm Coast,75196,20.3,29.1,13.9,38.7,77.8,8.2,8.9,80.6,8.4,78.8,88.1,74.4,9.6,44.5,33.1,19.5,54.6,20.4,13.0,18.1,35.9,3.7,26.0,74.7,15.0,32.9,12.9,35.2,4.1,15.4
5358,FL,Florida,Indialantic,2739,13.4,25.9,14.6,33.8,78.1,9.1,8.1,84.8,7.4,77.8,90.3,73.3,7.1,42.1,36.9,12.1,70.0,17.8,10.2,11.8,35.2,3.1,20.2,77.1,12.5,29.2,9.8,29.9,3.2,8.7
5360,FL,Florida,Belle Isle,6268,16.7,22.7,14.5,32.2,75.3,7.6,8.0,84.4,6.7,73.9,89.9,73.0,7.0,46.9,40.7,14.4,64.0,17.1,9.8,13.3,33.2,2.9,20.8,73.7,13.3,26.7,10.1,31.0,3.0,10.5
5365,FL,Florida,Tampa,335761,24.1,19.7,16.3,31.4,72.1,5.1,9.4,80.8,5.7,74.2,85.1,69.7,6.9,33.0,31.1,17.9,56.3,17.9,11.1,17.4,28.8,3.0,26.9,78.7,16.3,31.2,11.6,33.9,3.2,16.2
